000	000	000	000	000	000	000	000	000	000	3E1A
000	020	020	020	000	020	020	020	020	000	A1DD
015	01F	01C	017	015	01A	01A	015	01D	01A	A669
0E0	1C0	360	3A0	220	100	380	1C0	1A0	2C0	EAAF
012	004	006	015	002	017	01F	018	004	01E	9D4A
180	0E0	080	000	180	2A0	360	3C0	0A0	2A0	51B1
015	011	005	017	019	012	010	00F	019	002	E063
100	380	2C0	2C0	220	280	200	000	320	0E0	D263
019	01E	004	017	012	00D	000	008	00A	010	1B20
020	040	040	040	040	040	000	040	000	000	2350
01F	016	007	00F	00A	01C	005	00D	00A	011	6270
0E0	020	000	040	080	0E0	040	000	0A0	060	3BDE
019	01E	010	002	000	00E	003	016	012	00C	0373
020	000	040	020	020	020	020	020	020	040	B432
014	00E	012	013	018	014	006	015	006	009	2AF0
020	020	040	000	060	000	020	040	020	040	03B1
01B	010	001	011	002	015	010	000	00B	00C	6B8B
060	080	080	060	080	060	080	080	080	060	A80B
008	00F	014	01E	017	005	001	008	013	01F	1426
200	3C0	160	260	140	300	100	360	100	280	0115
0C0	140	000	180	100	060	180	280	0E0	0A0	EDC5
020	120	0A0	080	240	2C0	260	200	320	340	D880
3E0	200	1A0	2E0	100	220	340	320	3C0	1C0	7EF0
00F	01E	01A	01C	00F	001	01A	00E	01C	009	09C7
080	320	3E0	320	2E0	200	0A0	220	1E0	180	B879
00B	00E	00D	01B	00C	00E	01C	006	005	000	4E05
260	3A0	120	3E0	0E0	240	0C0	320	240	320	39A2
01A	00E	00E	001	018	008	002	014	004	004	6D95
220	0A0	3A0	120	0A0	100	120	160	1E0	3A0	D6AF
013	000	019	000	008	00B	00A	00D	00A	017	BDBC
220	000	280	3C0	000	2C0	2A0	220	0C0	320	95BD
00B	01D	00A	004	01D	00F	015	013	01A	01F	67A6
020	180	100	080	020	180	1C0	2A0	240	1A0	BA9E
01B	001	00A	010	01B	01B	00A	01D	01D	012	C67D
3E0	200	360	0E0	140	280	2C0	2C0	220	320	EDA8
01B	009	01E	015	01D	01E	00D	00C	012	018	A0CC
2C0	0E0	3E0	240	020	1C0	320	3C0	380	240	5AE9
005	015	01C	019	012	003	009	01C	00B	009	B460
2A0	380	2A0	320	380	280	2E0	280	3C0	320	8A36
01F	008	017	015	015	015	004	012	011	01D	A628
